ID,Match,"Start Time",League,"Live Bet",Result,Ah_01_Hcap,Ah_01,Ah_02_Hcap,Ah_02,Ft1X2_01,Ft1X2_02,Ft1X2_03,Htft_01,Htft_02,Htft_03,Htft_04,Htft_05,Htft_06,Htft_07,Htft_08,Htft_09,Pts_10,Pts_20,Pts_21,Pts_30,Pts_31,Pts_32,Pts_40,Pts_41,Pts_42,Pts_43,Pts_50,Pts_51,Pts_52,Pts_53,Pts_54,Pts_00,Pts_11,Pts_22,Pts_33,Pts_44,Pts_99,Pts_01,Pts_02,Pts_12,Pts_03,Pts_13,Pts_23,Pts_04,Pts_14,Pts_24,Pts_34,Pts_05,Pts_15,Pts_25,Pts_35,Pts_45,Tg_00,Tg_01,Tg_02,Tg_03,Tg_04,Tg_05,Tg_06,Tg_07,Tg_08,Tg_09,T1g_01,T1g_02,T1g_03,Oe_01,Oe_02,Ht1X2_01,Ht1X2_02,Ht1X2_03,Htpts_10,Htpts_20,Htpts_21,Htpts_00,Htpts_11,Htpts_22,Htpts_99,Htpts_01,Htpts_02,Htpts_12,Ou_hcap,Ou_01,Ou_02,Htou_Hcap,Htou_01,Htou_02,Hg_01_Hcap,Hg_01,Hg_02_Hcap,Hg_02,Bg_01,Bg_02,Htoe_01,Htoe_02,Httg_00,Httg_01,Httg_02,Httg_03,Htt1g_01,Htt1g_02,Htt1g_03,Htbg_01,Htbg_02
1366,"Udinese vs Verona","2023-01-31 03:45:00","Italian League",1,pending_or_postpone,-0.50,1.80,0.50,2.02,1.70,3.40,4.10,2.60,15.00,40.00,4.40,5.20,10.00,23.00,15.00,7.50,5.80,7.00,7.00,13.00,12.00,25.00,35.00,30.00,50.00,125.00,80.00,90.00,125.00,200.00,250.00,11.00,6.00,13.00,60.00,250.00,80.00,11.00,23.00,12.00,70.00,40.00,40.00,200.00,125.00,125.00,200.00,250.00,250.00,250.00,250.00,300.00,11.00,4.30,3.20,3.60,5.20,10.00,23.00,60.00,90.00,125.00,1.58,2.65,11.00,1.85,1.80,2.30,2.15,4.50,3.50,8.50,17.00,2.80,8.00,50.00,15.00,6.00,25.00,25.00,2.5,1.87,1.80,0.5,1.35,2.85,-1.5,3.15,1.5,1.28,1.75,1.90,2.05,1.63,2.80,2.45,4.10,7.50,2.10,3.50,2.80,4.80,1.12
1359,"Napoli vs Roma","2023-01-30 03:45:00","Italian League",1,"HT:1-0, FT:2-1",-0.75,1.91,0.75,1.91,1.65,3.50,4.40,2.50,15.00,40.00,4.30,5.20,10.00,25.00,15.00,8.50,5.80,7.00,7.00,12.00,12.00,25.00,30.00,25.00,50.00,125.00,70.00,80.00,125.00,200.00,250.00,11.00,6.00,13.00,70.00,250.00,80.00,11.00,25.00,13.00,80.00,40.00,40.00,200.00,150.00,150.00,200.00,250.00,250.00,250.00,250.00,300.00,11.00,4.30,3.20,3.60,5.20,10.00,23.00,60.00,90.00,125.00,1.53,2.80,11.00,1.85,1.80,2.25,2.15,4.70,3.40,7.50,15.00,2.80,8.00,50.00,15.00,6.50,25.00,25.00,2.5,1.87,1.80,0.5,1.35,2.85,-1.5,3.05,1.5,1.30,1.80,1.85,2.05,1.63,2.80,2.45,4.10,7.50,2.05,3.70,2.80,5.20,1.10
1383,"Lazio vs Fiorentina","2023-01-30 01:00:00","Italian League",1,"HT:1-0, FT:1-1",-0.50,1.82,0.50,1.77,2.03,3.10,3.20,3.20,13.00,35.00,5.00,4.70,8.00,25.00,13.00,6.00,6.50,9.00,7.50,17.00,15.00,25.00,50.00,40.00,60.00,125.00,125.00,125.00,150.00,250.00,250.00,9.50,5.20,12.00,60.00,250.00,125.00,9.50,17.00,11.00,50.00,30.00,35.00,125.00,90.00,100.00,150.00,250.00,250.00,250.00,250.00,300.00,9.50,4.20,3.10,3.70,5.50,11.00,25.00,60.00,90.00,125.00,1.75,2.35,9.50,1.87,1.77,2.70,2.05,3.80,3.90,11.00,19.00,2.70,7.50,30.00,17.00,5.20,19.00,25.00,2.5,1.93,1.75,0.5,1.38,2.75,-1.5,4.00,1.5,1.18,1.70,1.95,2.10,1.60,2.70,2.50,4.20,8.00,2.35,3.10,2.70,4.80,1.12
1363,"Juventus vs AC Monza","2023-01-29 22:00:00","Italian League",1,"HT:0-2, FT:0-2",-0.75,1.75,0.75,2.05,1.50,3.80,5.20,2.15,17.00,40.00,4.10,6.00,12.00,23.00,17.00,11.00,5.50,5.80,7.00,10.00,11.00,25.00,21.00,23.00,50.00,125.00,50.00,60.00,100.00,200.00,250.00,11.00,7.00,15.00,80.00,250.00,60.00,13.00,35.00,15.00,100.00,60.00,60.00,250.00,200.00,150.00,200.00,250.00,250.00,250.00,250.00,300.00,11.00,4.50,3.30,3.50,5.20,10.00,21.00,50.00,90.00,125.00,1.42,3.10,11.00,1.85,1.80,2.05,2.20,5.50,3.20,7.50,12.00,2.95,8.50,30.00,13.00,7.50,30.00,25.00,2.5,1.80,1.87,0.5,1.35,2.85,-1.5,2.50,1.5,1.43,1.85,1.80,2.00,1.67,2.95,2.45,4.00,7.00,1.90,4.00,2.95,5.20,1.10
1377,"Milan vs Sassuolo","2023-01-29 19:30:00","Italian League",1,"HT:1-3, FT:2-5",-1.25,1.97,1.25,1.85,1.40,4.30,6.00,1.95,17.00,40.00,4.20,8.00,13.00,19.00,17.00,11.00,8.00,7.00,7.00,9.50,9.00,17.00,17.00,15.00,30.00,70.00,40.00,40.00,60.00,125.00,250.00,19.00,8.50,13.00,50.00,200.00,25.00,19.00,40.00,17.00,100.00,50.00,40.00,250.00,150.00,125.00,150.00,300.00,250.00,250.00,250.00,250.00,19.00,6.50,3.80,3.50,4.30,7.00,12.00,25.00,60.00,90.00,1.37,3.10,19.00,1.82,1.82,1.90,2.50,5.20,3.30,6.50,13.00,3.60,7.50,40.00,9.50,8.00,30.00,25.00,2.5,1.50,2.35,1.5,2.20,1.58,-1.5,2.15,1.5,1.58,1.58,2.15,1.95,1.70,3.60,2.55,3.50,5.00,1.72,3.90,3.60,4.00,1.18
1350,"Atalanta vs Sampdoria","2023-01-29 03:45:00","Italian League",1,"HT:1-0, FT:2-0",,,,,1.28,4.80,8.50,1.75,21.00,60.00,3.90,7.50,17.00,23.00,21.00,15.00,5.80,5.00,7.00,7.00,9.50,25.00,13.00,17.00,40.00,125.00,30.00,40.00,90.00,200.00,250.00,15.00,9.00,19.00,90.00,250.00,25.00,21.00,60.00,25.00,150.00,90.00,80.00,250.00,250.00,200.00,250.00,300.00,250.00,250.00,250.00,250.00,15.00,5.00,3.40,3.40,4.80,8.50,17.00,40.00,70.00,100.00,1.30,3.90,15.00,1.82,1.82,1.72,2.50,7.50,2.95,5.50,15.00,3.30,9.00,50.00,9.50,10.00,40.00,35.00,2.5,1.63,2.10,1.5,2.40,1.49,-1.5,1.87,1.5,1.77,2.00,1.67,1.95,1.70,3.30,2.50,3.70,6.00,1.65,4.80,3.30,5.20,1.10
1338,"Cremonese vs Inter","2023-01-29 01:00:00","Italian League",1,"HT:1-1, FT:1-2",1.25,1.77,-1.25,2.07,5.20,4.10,1.45,11.00,17.00,21.00,13.00,7.00,4.10,40.00,15.00,2.05,15.00,35.00,15.00,100.00,50.00,50.00,250.00,150.00,150.00,150.00,300.00,250.00,250.00,250.00,250.00,15.00,7.50,15.00,60.00,200.00,40.00,7.00,6.50,6.50,10.00,10.00,19.00,19.00,19.00,35.00,90.00,40.00,50.00,90.00,200.00,250.00,15.00,5.20,3.50,3.50,4.70,8.00,15.00,35.00,70.00,100.00,3.10,1.40,15.00,1.82,1.82,5.20,2.40,1.95,7.50,30.00,25.00,3.40,8.00,30.00,11.00,3.20,7.00,12.00,2.5,1.60,2.15,1.5,2.45,1.47,1.5,1.50,-1.5,2.30,1.70,1.95,1.95,1.70,3.40,2.50,3.70,6.00,3.90,1.80,3.40,4.40,1.15
1358,"Empoli vs Torino","2023-01-28 22:00:00","Italian League",1,"HT:1-0, FT:2-2",0.00,2.10,0.00,1.75,2.90,2.90,2.30,5.00,15.00,30.00,6.50,4.20,5.20,35.00,13.00,3.90,7.50,13.00,10.00,40.00,25.00,40.00,100.00,90.00,100.00,200.00,250.00,200.00,250.00,250.00,300.00,7.50,5.00,13.00,80.00,250.00,150.00,6.00,10.00,8.50,25.00,19.00,35.00,70.00,60.00,90.00,150.00,200.00,150.00,200.00,250.00,250.00,7.50,3.70,3.00,3.90,6.50,13.00,35.00,70.00,100.00,125.00,2.20,1.92,7.50,1.90,1.75,3.60,1.92,3.05,4.80,17.00,25.00,2.45,8.00,35.00,23.00,4.20,13.00,23.00,2.5,2.20,1.58,0.5,1.47,2.45,1.5,1.09,-1.5,5.50,1.85,1.80,2.15,1.58,2.45,2.50,4.50,10.00,3.00,2.65,2.45,5.50,1.09
1368,"Lecce vs Salernitana","2023-01-28 03:45:00","Italian League",1,"HT:1-2, FT:1-2",-0.50,1.88,0.50,1.93,1.82,3.30,3.70,2.80,15.00,40.00,4.50,4.80,9.00,25.00,15.00,7.00,5.20,7.50,7.00,15.00,13.00,25.00,40.00,40.00,60.00,150.00,100.00,100.00,150.00,250.00,250.00,9.50,5.80,13.00,70.00,250.00,125.00,9.50,19.00,12.00,60.00,40.00,40.00,200.00,125.00,125.00,200.00,250.00,250.00,250.00,250.00,300.00,9.50,3.90,3.10,3.60,6.00,12.00,25.00,60.00,100.00,125.00,1.65,2.55,9.50,1.82,1.82,2.50,2.05,4.30,3.60,9.00,15.00,2.75,8.00,50.00,19.00,5.50,23.00,25.00,2.5,2.00,1.70,0.5,1.38,2.75,-1.5,3.55,1.5,1.22,1.82,1.82,2.05,1.63,2.75,2.40,4.30,8.50,2.20,3.40,2.75,5.20,1.10
1354,"Bologna vs Spezia","2023-01-28 01:30:00","Italian League",1,"HT:1-0, FT:2-0",-0.50,1.85,0.50,1.97,1.80,3.30,3.80,2.80,15.00,40.00,4.50,4.80,9.00,25.00,15.00,7.00,5.50,7.50,7.00,13.00,13.00,25.00,40.00,35.00,60.00,125.00,90.00,100.00,150.00,250.00,250.00,9.50,5.80,13.00,70.00,250.00,100.00,10.00,21.00,12.00,60.00,40.00,40.00,200.00,125.00,125.00,200.00,250.00,250.00,250.00,250.00,300.00,9.50,4.00,3.10,3.60,6.00,11.00,25.00,60.00,100.00,125.00,1.63,2.60,9.50,1.85,1.80,2.45,2.05,4.40,3.50,9.00,15.00,2.75,8.00,50.00,17.00,6.00,23.00,25.00,2.5,1.97,1.72,0.5,1.38,2.75,-1.5,3.50,1.5,1.23,1.80,1.85,2.05,1.63,2.75,2.45,4.00,7.50,2.20,3.40,2.75,5.20,1.10
