ID,Match,"Start Time",League,"Live Bet",Result,Ah_01_Hcap,Ah_01,Ah_02_Hcap,Ah_02,Ft1X2_01,Ft1X2_02,Ft1X2_03,Htft_01,Htft_02,Htft_03,Htft_04,Htft_05,Htft_06,Htft_07,Htft_08,Htft_09,Pts_10,Pts_20,Pts_21,Pts_30,Pts_31,Pts_32,Pts_40,Pts_41,Pts_42,Pts_43,Pts_50,Pts_51,Pts_52,Pts_53,Pts_54,Pts_00,Pts_11,Pts_22,Pts_33,Pts_44,Pts_99,Pts_01,Pts_02,Pts_12,Pts_03,Pts_13,Pts_23,Pts_04,Pts_14,Pts_24,Pts_34,Pts_05,Pts_15,Pts_25,Pts_35,Pts_45,Tg_00,Tg_01,Tg_02,Tg_03,Tg_04,Tg_05,Tg_06,Tg_07,Tg_08,Tg_09,T1g_01,T1g_02,T1g_03,Oe_01,Oe_02,Ht1X2_01,Ht1X2_02,Ht1X2_03,Htpts_10,Htpts_20,Htpts_21,Htpts_00,Htpts_11,Htpts_22,Htpts_99,Htpts_01,Htpts_02,Htpts_12,Ou_hcap,Ou_01,Ou_02,Htou_Hcap,Htou_01,Htou_02,Hg_01_Hcap,Hg_01,Hg_02_Hcap,Hg_02,Bg_01,Bg_02,Htoe_01,Htoe_02,Httg_00,Httg_01,Httg_02,Httg_03,Htt1g_01,Htt1g_02,Htt1g_03,Htbg_01,Htbg_02
0372,"Leeds vs Liverpool","2023-04-18 03:00:00","English Premier",1,pending_or_postpone,0.75,1.97,-0.75,1.85,4.00,3.80,1.63,7.00,15.00,17.00,10.00,7.50,4.40,35.00,15.00,2.30,15.00,25.00,12.00,60.00,35.00,30.00,200.00,100.00,90.00,125.00,250.00,250.00,250.00,250.00,250.00,17.00,7.50,12.00,40.00,200.00,35.00,9.00,8.50,6.50,13.00,11.00,15.00,23.00,19.00,25.00,60.00,40.00,40.00,70.00,150.00,250.00,17.00,6.00,3.70,3.40,4.50,7.50,12.00,23.00,40.00,70.00,2.55,1.55,17.00,1.80,1.85,4.30,2.40,2.10,6.50,21.00,19.00,3.50,7.00,35.00,9.50,3.60,8.00,12.00,2.5,1.50,2.35,1.5,2.20,1.58,1.5,1.40,-1.5,2.60,1.50,2.30,1.95,1.70,3.50,2.55,3.60,5.00,3.20,1.95,3.50,3.75,1.20
0394,"Nottingham vs Manchester Utd","2023-04-16 23:30:00","English Premier",1,pending_or_postpone,0.75,2.03,-0.75,1.77,5.00,3.80,1.50,9.50,17.00,21.00,11.00,7.00,4.10,40.00,15.00,2.15,15.00,30.00,13.00,90.00,50.00,40.00,200.00,150.00,150.00,200.00,250.00,250.00,250.00,250.00,300.00,13.00,8.00,13.00,60.00,250.00,35.00,7.50,7.00,6.50,11.00,11.00,17.00,19.00,19.00,30.00,90.00,40.00,40.00,80.00,200.00,250.00,13.00,4.80,3.30,3.50,4.80,9.00,17.00,30.00,60.00,80.00,2.95,1.48,13.00,1.82,1.82,5.00,2.30,2.03,7.00,25.00,23.00,3.10,8.00,50.00,11.00,3.30,7.50,13.00,2.5,1.70,2.00,1.5,2.45,1.47,1.5,1.45,-1.5,2.45,1.70,1.95,2.00,1.67,3.10,2.45,3.90,6.00,3.70,1.90,3.10,4.80,1.12
0382,"West Ham vs Arsenal","2023-04-16 21:00:00","English Premier",1,pending_or_postpone,1.00,1.88,-1.00,1.93,5.20,3.90,1.48,10.00,17.00,21.00,12.00,6.00,4.20,40.00,15.00,2.20,13.00,35.00,15.00,90.00,50.00,50.00,250.00,150.00,150.00,200.00,250.00,250.00,250.00,250.00,300.00,13.00,7.00,15.00,60.00,250.00,40.00,6.00,6.50,6.50,11.00,11.00,21.00,23.00,23.00,40.00,100.00,60.00,60.00,100.00,200.00,250.00,13.00,4.80,3.30,3.50,4.80,9.00,17.00,30.00,60.00,80.00,3.00,1.42,13.00,1.82,1.82,5.20,2.30,2.00,7.00,25.00,30.00,3.10,8.00,50.00,11.00,3.30,7.00,13.00,2.5,1.70,2.00,1.5,2.45,1.47,1.5,1.48,-1.5,2.35,1.75,1.90,2.00,1.67,3.10,2.45,3.90,6.00,3.80,1.90,3.10,4.80,1.12
0398,"Manchester City vs Leicester","2023-04-16 00:30:00","English Premier",1,pending_or_postpone,-2.25,1.93,2.25,1.88,1.13,7.00,13.00,1.42,25.00,60.00,4.10,11.00,30.00,23.00,30.00,30.00,10.00,6.50,9.00,6.00,8.50,23.00,8.50,11.00,30.00,100.00,13.00,19.00,50.00,150.00,250.00,25.00,13.00,25.00,90.00,250.00,8.50,40.00,125.00,40.00,250.00,150.00,90.00,250.00,250.00,250.00,250.00,300.00,250.00,250.00,250.00,250.00,25.00,9.50,4.70,3.80,4.10,5.20,9.50,13.00,25.00,40.00,1.12,5.50,25.00,1.82,1.82,1.40,3.20,10.00,3.10,4.50,13.00,4.10,10.00,50.00,5.20,13.00,50.00,40.00,3.5,1.83,1.83,1.5,1.87,1.80,-2.5,2.00,2.5,1.67,1.90,1.75,1.95,1.70,4.10,2.80,3.30,4.00,1.37,7.00,4.10,4.80,1.12
0311,"Everton vs Fulham","2023-04-15 22:00:00","English Premier",1,pending_or_postpone,-0.50,1.95,0.50,1.77,1.95,3.10,3.50,3.05,15.00,35.00,4.70,4.50,8.00,25.00,15.00,6.50,5.20,8.00,7.50,17.00,15.00,30.00,50.00,40.00,70.00,150.00,125.00,125.00,200.00,250.00,250.00,8.50,5.50,15.00,90.00,250.00,150.00,8.50,17.00,11.00,60.00,35.00,40.00,150.00,125.00,125.00,200.00,250.00,250.00,250.00,250.00,300.00,8.50,3.60,3.05,3.70,6.50,13.00,35.00,70.00,100.00,125.00,1.70,2.50,8.50,1.85,1.80,2.65,2.00,4.10,3.70,10.00,19.00,2.60,8.50,40.00,17.00,5.20,19.00,25.00,2.5,2.15,1.60,0.5,1.42,2.60,-1.5,3.75,1.5,1.20,1.90,1.75,2.10,1.60,2.60,2.40,4.50,8.50,2.35,3.30,2.60,5.50,1.09
0393,"Chelsea vs Brighton","2023-04-15 22:00:00","English Premier",1,pending_or_postpone,0.00,1.88,0.00,1.93,2.45,3.20,2.50,4.10,13.00,30.00,6.00,5.00,6.00,25.00,13.00,4.20,8.00,11.00,8.50,25.00,19.00,23.00,70.00,50.00,60.00,125.00,200.00,150.00,200.00,250.00,250.00,11.00,5.20,12.00,60.00,250.00,90.00,8.00,12.00,8.50,30.00,19.00,23.00,70.00,50.00,60.00,125.00,200.00,150.00,200.00,250.00,300.00,11.00,4.40,3.20,3.60,5.20,10.00,23.00,50.00,90.00,125.00,1.95,2.00,11.00,1.85,1.80,3.10,2.10,3.10,4.50,13.00,21.00,2.80,7.00,35.00,15.00,4.50,13.00,21.00,2.5,1.83,1.83,0.5,1.35,2.85,1.5,1.07,-1.5,6.00,1.63,2.05,2.05,1.63,2.80,2.45,4.10,7.00,2.60,2.65,2.80,4.40,1.15
0305,"Tottenham vs Bournemouth","2023-04-15 22:00:00","English Premier",1,pending_or_postpone,-1.25,1.97,1.25,1.85,1.42,4.10,6.00,2.00,17.00,50.00,4.00,7.00,13.00,21.00,17.00,12.00,6.50,6.00,7.00,9.00,10.00,21.00,17.00,19.00,40.00,100.00,40.00,50.00,90.00,200.00,250.00,13.00,7.50,15.00,60.00,250.00,35.00,17.00,40.00,17.00,125.00,60.00,50.00,250.00,200.00,150.00,200.00,300.00,250.00,250.00,250.00,250.00,13.00,5.20,3.40,3.50,4.70,8.50,15.00,30.00,50.00,80.00,1.37,3.30,13.00,1.82,1.82,1.92,2.35,5.80,3.20,6.00,13.00,3.20,8.00,50.00,10.00,8.00,35.00,30.00,2.5,1.63,2.10,1.5,2.35,1.50,-1.5,2.10,1.5,1.60,1.77,1.87,2.00,1.67,3.20,2.55,3.80,5.50,1.80,4.10,3.20,4.80,1.12
0386,"Wolverhampton vs Brentford","2023-04-15 22:00:00","English Premier",1,pending_or_postpone,0.00,1.77,0.00,2.07,2.30,3.05,2.75,3.80,15.00,30.00,5.20,4.40,6.50,25.00,15.00,4.70,5.80,10.00,8.50,25.00,21.00,35.00,70.00,60.00,90.00,150.00,200.00,200.00,200.00,250.00,250.00,8.00,5.20,13.00,80.00,250.00,150.00,7.00,12.00,9.50,35.00,25.00,40.00,100.00,90.00,100.00,200.00,250.00,200.00,250.00,250.00,300.00,8.00,3.50,3.05,3.80,6.50,13.00,35.00,70.00,125.00,150.00,1.92,2.15,8.00,1.85,1.80,3.05,1.97,3.50,4.20,12.00,21.00,2.50,8.00,50.00,19.00,4.50,15.00,23.00,2.5,2.20,1.58,0.5,1.45,2.50,-1.5,4.80,1.5,1.12,1.87,1.77,2.10,1.60,2.50,2.40,4.50,9.00,2.65,2.95,2.50,5.50,1.09
0385,"Southampton vs Crystal Palace","2023-04-15 22:00:00","English Premier",1,pending_or_postpone,0.00,1.93,0.00,1.88,2.55,3.00,2.50,4.40,13.00,30.00,6.00,4.50,6.00,30.00,13.00,4.20,6.50,11.00,9.00,30.00,23.00,35.00,90.00,70.00,90.00,150.00,200.00,200.00,250.00,250.00,300.00,8.00,5.20,13.00,70.00,250.00,150.00,6.50,11.00,9.00,30.00,21.00,35.00,90.00,60.00,90.00,150.00,200.00,200.00,250.00,250.00,250.00,8.00,3.60,3.05,3.80,6.50,13.00,35.00,70.00,100.00,125.00,2.05,2.00,8.00,1.85,1.80,3.30,1.97,3.20,4.40,13.00,21.00,2.60,8.00,40.00,17.00,4.40,13.00,21.00,2.5,2.15,1.60,0.5,1.42,2.60,1.5,1.10,-1.5,5.20,1.82,1.82,2.10,1.60,2.60,2.45,4.50,7.50,2.75,2.75,2.60,5.20,1.10
0391,"Aston Villa vs Newcastle","2023-04-15 19:30:00","English Premier",1,pending_or_postpone,0.25,2.02,-0.25,1.80,3.20,3.20,2.00,5.50,15.00,25.00,7.50,4.80,5.00,35.00,13.00,3.20,9.00,17.00,11.00,50.00,30.00,35.00,125.00,90.00,100.00,150.00,250.00,250.00,250.00,250.00,300.00,9.50,5.20,13.00,60.00,250.00,125.00,6.00,9.00,7.50,17.00,15.00,25.00,50.00,40.00,60.00,125.00,125.00,125.00,150.00,250.00,250.00,9.50,4.00,3.10,3.60,5.80,11.00,25.00,60.00,100.00,125.00,2.35,1.75,9.50,1.85,1.80,3.80,2.05,2.70,5.20,19.00,25.00,2.75,7.50,40.00,15.00,3.80,10.00,17.00,2.5,1.97,1.72,0.5,1.38,2.75,1.5,1.20,-1.5,3.75,1.75,1.90,2.05,1.63,2.75,2.45,4.20,7.50,3.10,2.35,2.75,4.80,1.12
