ID,Match,"Start Time",League,"Live Bet",Result,Ah_01_Hcap,Ah_01,Ah_02_Hcap,Ah_02,Ft1X2_01,Ft1X2_02,Ft1X2_03,Htft_01,Htft_02,Htft_03,Htft_04,Htft_05,Htft_06,Htft_07,Htft_08,Htft_09,Pts_10,Pts_20,Pts_21,Pts_30,Pts_31,Pts_32,Pts_40,Pts_41,Pts_42,Pts_43,Pts_50,Pts_51,Pts_52,Pts_53,Pts_54,Pts_00,Pts_11,Pts_22,Pts_33,Pts_44,Pts_99,Pts_01,Pts_02,Pts_12,Pts_03,Pts_13,Pts_23,Pts_04,Pts_14,Pts_24,Pts_34,Pts_05,Pts_15,Pts_25,Pts_35,Pts_45,Tg_00,Tg_01,Tg_02,Tg_03,Tg_04,Tg_05,Tg_06,Tg_07,Tg_08,Tg_09,T1g_01,T1g_02,T1g_03,Oe_01,Oe_02,Ht1X2_01,Ht1X2_02,Ht1X2_03,Htpts_10,Htpts_20,Htpts_21,Htpts_00,Htpts_11,Htpts_22,Htpts_99,Htpts_01,Htpts_02,Htpts_12,Ou_hcap,Ou_01,Ou_02,Htou_Hcap,Htou_01,Htou_02,Hg_01_Hcap,Hg_01,Hg_02_Hcap,Hg_02,Bg_01,Bg_02,Htoe_01,Htoe_02,Httg_00,Httg_01,Httg_02,Httg_03,Htt1g_01,Htt1g_02,Htt1g_03,Htbg_01,Htbg_02
5682,"Ajax vs Emmen","2023-04-17 02:00:00","Dutch League",1,pending_or_postpone,-2.25,1.77,2.25,2.07,1.09,8.50,15.00,1.33,25.00,60.00,4.20,13.00,35.00,23.00,30.00,35.00,10.00,6.00,9.50,5.50,9.00,25.00,7.50,11.00,35.00,125.00,12.00,19.00,60.00,150.00,250.00,30.00,15.00,30.00,100.00,250.00,7.50,50.00,125.00,50.00,250.00,200.00,125.00,250.00,250.00,250.00,250.00,300.00,250.00,250.00,250.00,250.00,30.00,9.50,4.70,3.60,4.00,5.20,9.50,15.00,30.00,50.00,1.07,7.00,30.00,1.80,1.85,1.30,3.60,13.00,3.00,4.20,13.00,4.50,11.00,50.00,5.00,15.00,50.00,40.00,3.5,1.83,1.83,1.5,1.83,1.83,-2.5,1.87,2.5,1.77,2.05,1.63,1.90,1.75,4.50,2.75,3.20,3.90,1.30,8.00,4.50,5.20,1.10
5619,"Fortuna Sittard vs Alkmaar","2023-04-17 02:00:00","Dutch League",1,pending_or_postpone,0.75,1.91,-0.75,1.91,4.10,3.60,1.65,7.50,15.00,21.00,10.00,6.00,4.50,35.00,15.00,2.50,13.00,25.00,12.00,70.00,35.00,35.00,200.00,125.00,100.00,125.00,250.00,250.00,250.00,250.00,300.00,13.00,6.50,12.00,50.00,200.00,60.00,7.00,7.50,7.00,12.00,11.00,19.00,30.00,25.00,40.00,90.00,70.00,60.00,100.00,200.00,250.00,13.00,5.00,3.40,3.50,4.80,8.50,17.00,40.00,70.00,100.00,2.65,1.55,13.00,1.82,1.82,4.50,2.25,2.20,6.50,23.00,23.00,3.20,7.00,30.00,12.00,3.50,8.50,13.00,2.5,1.63,2.10,1.5,2.50,1.45,1.5,1.33,-1.5,2.90,1.60,2.10,2.00,1.67,3.20,2.55,3.80,5.80,3.30,2.00,3.20,4.40,1.15
5698,"Cambuur vs Feyenoord","2023-04-16 22:45:00","Dutch League",1,pending_or_postpone,,,,,8.00,5.20,1.27,15.00,21.00,19.00,19.00,9.50,4.00,50.00,19.00,1.67,25.00,60.00,23.00,150.00,80.00,60.00,250.00,200.00,200.00,200.00,300.00,250.00,250.00,250.00,250.00,21.00,10.00,17.00,60.00,200.00,17.00,8.00,6.00,7.00,7.50,8.50,19.00,12.00,13.00,25.00,90.00,25.00,30.00,60.00,125.00,250.00,21.00,7.00,4.00,3.50,4.20,6.50,11.00,25.00,50.00,80.00,3.70,1.28,21.00,1.82,1.82,7.00,2.70,1.67,10.00,35.00,35.00,3.80,8.50,40.00,8.00,3.10,5.20,13.00,3.5,2.15,1.60,1.5,2.10,1.63,1.5,1.90,-1.5,1.75,1.70,1.95,1.90,1.75,3.80,2.60,3.40,4.70,4.40,1.60,3.80,4.40,1.15
5699,"Utrecht vs Twente Enschede","2023-04-16 20:30:00","Dutch League",1,pending_or_postpone,0.25,1.80,-0.25,2.02,2.75,3.20,2.25,4.70,13.00,25.00,6.50,5.20,5.50,30.00,13.00,3.60,9.00,13.00,9.00,35.00,21.00,25.00,90.00,60.00,70.00,125.00,200.00,200.00,200.00,250.00,250.00,11.00,5.50,11.00,50.00,200.00,100.00,8.00,11.00,8.00,23.00,15.00,23.00,60.00,50.00,60.00,100.00,150.00,125.00,150.00,250.00,250.00,11.00,4.50,3.30,3.50,5.20,10.00,21.00,50.00,90.00,125.00,2.10,1.87,11.00,1.85,1.80,3.30,2.10,2.90,4.80,15.00,21.00,2.80,7.00,40.00,15.00,4.20,12.00,19.00,2.5,1.77,1.90,1.5,2.75,1.38,1.5,1.12,-1.5,4.80,1.60,2.10,2.05,1.63,2.80,2.45,4.00,7.00,2.70,2.45,2.80,4.40,1.15
5607,"Volendam vs PSV","2023-04-16 20:30:00","Dutch League",1,pending_or_postpone,1.75,1.93,-1.75,1.88,9.00,5.50,1.23,17.00,21.00,19.00,19.00,10.00,4.20,50.00,19.00,1.60,35.00,70.00,25.00,200.00,80.00,50.00,250.00,200.00,150.00,150.00,300.00,250.00,250.00,250.00,250.00,30.00,11.00,15.00,50.00,150.00,11.00,11.00,7.50,8.00,8.00,8.00,17.00,12.00,11.00,21.00,60.00,21.00,23.00,40.00,90.00,200.00,30.00,9.50,4.80,3.80,4.00,5.20,9.00,15.00,35.00,50.00,3.60,1.28,30.00,1.82,1.82,7.00,2.80,1.63,11.00,35.00,25.00,4.30,8.00,30.00,6.00,3.40,5.20,10.00,3.5,1.77,1.90,1.5,1.87,1.80,1.5,2.05,-1.5,1.63,1.55,2.20,1.90,1.75,4.30,2.80,3.30,3.80,4.30,1.53,4.30,3.75,1.20
5601,"Nijmegen vs Vitesse Arnhem","2023-04-16 18:15:00","Dutch League",1,pending_or_postpone,-0.25,1.91,0.25,1.91,2.10,3.20,3.00,3.40,13.00,35.00,5.20,5.00,7.00,25.00,13.00,5.20,7.00,10.00,7.50,21.00,15.00,23.00,60.00,40.00,60.00,125.00,125.00,125.00,150.00,250.00,250.00,11.00,5.20,12.00,60.00,250.00,125.00,9.00,15.00,9.50,40.00,23.00,30.00,100.00,80.00,90.00,125.00,250.00,200.00,200.00,250.00,250.00,11.00,4.40,3.20,3.60,5.20,10.00,23.00,50.00,90.00,125.00,1.80,2.20,11.00,1.85,1.80,2.75,2.10,3.50,4.00,11.00,17.00,2.80,7.50,30.00,15.00,5.00,17.00,21.00,2.5,1.83,1.83,1.5,2.85,1.35,-1.5,4.40,1.5,1.15,1.63,2.05,2.05,1.63,2.80,2.45,4.10,7.50,2.40,2.90,2.80,4.80,1.12
5608,"Sparta Rotterdam vs Heerenveen","2023-04-16 03:00:00","Dutch League",1,pending_or_postpone,-0.25,1.97,0.25,1.85,2.15,3.10,2.95,3.60,13.00,35.00,5.20,4.80,7.00,25.00,13.00,5.00,6.50,10.00,8.00,21.00,17.00,25.00,60.00,50.00,70.00,125.00,150.00,125.00,200.00,250.00,250.00,9.50,5.20,13.00,60.00,250.00,125.00,8.00,13.00,10.00,40.00,25.00,35.00,100.00,80.00,90.00,150.00,250.00,200.00,250.00,250.00,300.00,9.50,4.00,3.10,3.60,5.80,11.00,25.00,60.00,100.00,125.00,1.82,2.20,9.50,1.85,1.80,2.85,2.05,3.50,4.00,12.00,17.00,2.70,7.50,35.00,17.00,4.80,17.00,21.00,2.5,1.97,1.72,0.5,1.38,2.75,-1.5,4.80,1.5,1.12,1.70,1.95,2.05,1.63,2.70,2.45,4.20,7.50,2.45,2.95,2.70,4.80,1.12
5609,"Waalwijk vs Groningen","2023-04-16 00:45:00","Dutch League",1,pending_or_postpone,-0.50,1.92,0.50,1.80,1.92,3.30,3.30,3.05,13.00,35.00,5.00,5.20,8.00,23.00,13.00,6.00,7.50,9.50,7.50,17.00,13.00,21.00,40.00,35.00,50.00,100.00,100.00,90.00,125.00,200.00,250.00,12.00,6.00,11.00,50.00,200.00,90.00,11.00,17.00,10.00,50.00,25.00,30.00,125.00,90.00,90.00,125.00,250.00,200.00,250.00,250.00,300.00,12.00,4.80,3.30,3.50,5.00,9.00,19.00,40.00,90.00,125.00,1.70,2.30,12.00,1.85,1.80,2.55,2.15,3.80,3.90,10.00,15.00,3.05,7.00,30.00,13.00,5.20,19.00,21.00,2.5,1.72,1.97,1.5,2.65,1.40,-1.5,3.75,1.5,1.20,1.58,2.15,2.00,1.67,3.05,2.50,3.90,6.00,2.20,3.00,3.05,4.40,1.15
5605,"Excelsior vs Go Ahead Eagles","2023-04-15 02:00:00","Dutch League",1,pending_or_postpone,0.25,1.93,-0.25,1.88,3.00,3.30,2.05,5.20,13.00,25.00,7.50,5.20,5.20,30.00,13.00,3.30,10.00,15.00,10.00,40.00,23.00,25.00,100.00,70.00,80.00,125.00,250.00,200.00,200.00,250.00,250.00,12.00,6.00,11.00,50.00,200.00,100.00,7.50,10.00,7.50,19.00,13.00,21.00,50.00,40.00,60.00,100.00,125.00,100.00,150.00,200.00,250.00,12.00,4.50,3.30,3.50,5.00,9.50,19.00,50.00,90.00,125.00,2.20,1.77,12.00,1.82,1.82,3.50,2.15,2.70,5.00,17.00,19.00,3.05,7.00,30.00,13.00,4.00,11.00,15.00,2.5,1.75,1.93,1.5,2.65,1.40,1.5,1.15,-1.5,4.40,1.58,2.15,2.00,1.67,3.05,2.45,3.90,6.50,2.85,2.30,3.05,4.40,1.15
5611,"Feyenoord vs Waalwijk","2023-04-10 02:00:00","Dutch League",1,"HT:3-0, FT:5-1",-2.25,2.02,2.25,1.80,1.15,6.50,12.00,1.45,25.00,60.00,4.10,12.00,25.00,21.00,25.00,25.00,9.00,5.50,8.50,5.80,8.50,23.00,9.00,11.00,30.00,100.00,15.00,21.00,60.00,150.00,250.00,25.00,13.00,25.00,90.00,250.00,10.00,40.00,100.00,40.00,250.00,125.00,90.00,250.00,250.00,250.00,250.00,300.00,250.00,250.00,250.00,250.00,25.00,8.50,4.40,3.60,4.10,5.50,10.00,19.00,40.00,60.00,1.18,4.70,25.00,1.82,1.82,1.50,3.00,9.50,3.00,4.50,12.00,4.30,10.00,35.00,6.00,12.00,40.00,35.00,3.5,1.93,1.75,1.5,1.97,1.72,-2.5,2.25,2.5,1.53,1.90,1.75,1.90,1.75,4.30,2.70,3.30,4.00,1.45,5.20,4.30,4.80,1.12
