ID,Match,"Start Time",League,"Live Bet",Result,Ah_01_Hcap,Ah_01,Ah_02_Hcap,Ah_02,Ft1X2_01,Ft1X2_02,Ft1X2_03,Htft_01,Htft_02,Htft_03,Htft_04,Htft_05,Htft_06,Htft_07,Htft_08,Htft_09,Pts_10,Pts_20,Pts_21,Pts_30,Pts_31,Pts_32,Pts_40,Pts_41,Pts_42,Pts_43,Pts_50,Pts_51,Pts_52,Pts_53,Pts_54,Pts_00,Pts_11,Pts_22,Pts_33,Pts_44,Pts_99,Pts_01,Pts_02,Pts_12,Pts_03,Pts_13,Pts_23,Pts_04,Pts_14,Pts_24,Pts_34,Pts_05,Pts_15,Pts_25,Pts_35,Pts_45,Tg_00,Tg_01,Tg_02,Tg_03,Tg_04,Tg_05,Tg_06,Tg_07,Tg_08,Tg_09,T1g_01,T1g_02,T1g_03,Oe_01,Oe_02,Ht1X2_01,Ht1X2_02,Ht1X2_03,Htpts_10,Htpts_20,Htpts_21,Htpts_00,Htpts_11,Htpts_22,Htpts_99,Htpts_01,Htpts_02,Htpts_12,Ou_hcap,Ou_01,Ou_02,Htou_Hcap,Htou_01,Htou_02,Hg_01_Hcap,Hg_01,Hg_02_Hcap,Hg_02,Bg_01,Bg_02,Htoe_01,Htoe_02,Httg_00,Httg_01,Httg_02,Httg_03,Htt1g_01,Htt1g_02,Htt1g_03,Htbg_01,Htbg_02
2956,"Marseille vs Troyes","2023-04-17 02:45:00","French League",1,pending_or_postpone,-2.00,1.97,2.00,1.85,1.18,6.00,10.00,1.50,23.00,60.00,3.90,10.00,25.00,21.00,23.00,25.00,8.00,5.50,8.50,6.00,9.00,25.00,9.50,12.00,35.00,125.00,15.00,25.00,60.00,150.00,250.00,19.00,11.00,25.00,90.00,250.00,12.00,35.00,90.00,35.00,250.00,125.00,90.00,250.00,250.00,250.00,250.00,300.00,250.00,250.00,250.00,250.00,19.00,7.50,4.00,3.50,4.20,6.50,10.00,19.00,35.00,50.00,1.17,4.80,19.00,1.82,1.82,1.48,2.85,10.00,3.00,4.80,13.00,3.70,10.00,50.00,7.00,12.00,50.00,40.00,3.5,2.07,1.65,1.5,2.00,1.70,-1.5,1.50,1.5,2.30,1.95,1.70,1.95,1.70,3.70,2.70,3.40,4.50,1.48,5.80,3.70,5.20,1.10
2963,"Monaco vs Lorient","2023-04-16 23:05:00","French League",1,pending_or_postpone,,,,,1.33,4.70,7.00,1.82,17.00,40.00,4.10,8.50,15.00,19.00,19.00,13.00,8.50,6.50,7.00,8.50,8.50,17.00,15.00,13.00,25.00,70.00,30.00,35.00,60.00,125.00,250.00,21.00,9.00,15.00,50.00,200.00,21.00,23.00,50.00,19.00,125.00,60.00,50.00,250.00,200.00,150.00,150.00,300.00,250.00,250.00,250.00,250.00,21.00,7.00,4.00,3.50,4.20,6.50,11.00,23.00,40.00,70.00,1.30,3.40,21.00,1.82,1.82,1.77,2.60,6.00,3.30,6.00,13.00,3.70,7.50,40.00,8.50,9.00,30.00,25.00,3.5,2.15,1.60,1.5,2.07,1.65,-1.5,1.90,1.5,1.75,1.60,2.10,1.95,1.70,3.70,2.60,3.50,4.70,1.67,4.10,3.70,4.00,1.18
2949,"Brest vs Nice","2023-04-16 21:00:00","French League",1,pending_or_postpone,0.25,1.93,-0.25,1.88,3.10,3.10,2.10,5.20,15.00,25.00,7.50,4.80,5.00,35.00,13.00,3.40,8.50,15.00,10.00,40.00,25.00,35.00,125.00,90.00,100.00,150.00,250.00,250.00,250.00,250.00,300.00,9.00,5.20,13.00,60.00,250.00,125.00,6.50,9.50,8.00,19.00,15.00,25.00,60.00,50.00,70.00,125.00,150.00,125.00,200.00,250.00,250.00,9.00,3.90,3.10,3.70,6.00,11.00,25.00,60.00,100.00,125.00,2.30,1.80,9.00,1.85,1.80,3.70,2.03,2.80,5.00,17.00,25.00,2.65,7.50,40.00,15.00,3.90,11.00,19.00,2.5,2.00,1.70,0.5,1.40,2.65,1.5,1.20,-1.5,3.75,1.77,1.87,2.05,1.63,2.65,2.45,4.30,7.50,3.10,2.40,2.65,5.20,1.10
2961,"Auxerre vs Nantes","2023-04-16 21:00:00","French League",1,pending_or_postpone,-0.25,1.93,0.25,1.88,2.15,2.95,3.10,3.50,15.00,35.00,5.00,4.10,7.00,30.00,15.00,5.50,5.20,9.00,8.50,21.00,19.00,35.00,60.00,60.00,90.00,200.00,150.00,150.00,200.00,250.00,250.00,7.00,5.00,15.00,90.00,250.00,200.00,7.00,15.00,11.00,40.00,35.00,50.00,125.00,100.00,125.00,200.00,250.00,250.00,250.00,250.00,300.00,7.00,3.40,3.00,3.90,7.00,15.00,40.00,80.00,125.00,125.00,1.85,2.30,7.00,1.87,1.77,2.95,1.90,3.90,3.90,12.00,23.00,2.40,8.50,50.00,21.00,5.00,19.00,30.00,2.5,2.35,1.50,0.5,1.49,2.40,-1.5,4.00,1.5,1.18,1.95,1.70,2.15,1.58,2.40,2.45,4.70,9.50,2.60,3.20,2.40,6.00,1.07
2970,"Clermont vs Angers SCO","2023-04-16 21:00:00","French League",1,pending_or_postpone,-0.75,2.03,0.75,1.77,1.77,3.40,3.90,2.65,15.00,35.00,4.40,5.20,9.50,25.00,15.00,7.00,5.20,7.00,7.00,13.00,13.00,25.00,35.00,35.00,60.00,150.00,90.00,100.00,150.00,250.00,250.00,9.50,5.80,15.00,80.00,250.00,100.00,9.50,21.00,12.00,60.00,40.00,50.00,200.00,125.00,150.00,200.00,250.00,250.00,250.00,250.00,300.00,9.50,3.70,3.10,3.60,6.00,12.00,30.00,60.00,100.00,125.00,1.60,2.65,9.50,1.80,1.85,2.40,2.10,4.40,3.40,9.50,17.00,2.75,8.00,50.00,15.00,6.00,25.00,30.00,2.5,2.03,1.67,1.5,2.85,1.35,-1.5,3.05,1.5,1.30,1.87,1.77,2.05,1.63,2.75,2.40,4.30,7.50,2.15,3.50,2.75,5.20,1.10
2943,"Strasbourg vs Ajaccio","2023-04-16 21:00:00","French League",1,pending_or_postpone,-0.75,1.97,0.75,1.85,1.67,3.20,4.70,2.55,17.00,40.00,4.10,4.50,10.00,25.00,17.00,9.50,4.20,5.80,7.50,12.00,15.00,40.00,35.00,40.00,90.00,200.00,90.00,125.00,200.00,250.00,250.00,7.00,5.80,19.00,125.00,250.00,125.00,9.50,25.00,15.00,90.00,60.00,70.00,250.00,200.00,200.00,250.00,250.00,250.00,250.00,250.00,300.00,7.00,3.30,2.95,4.00,7.50,15.00,40.00,90.00,125.00,150.00,1.55,3.05,7.00,1.85,1.80,2.40,1.97,5.20,3.20,9.50,21.00,2.40,9.50,50.00,17.00,6.50,30.00,40.00,2.5,2.40,1.49,0.5,1.49,2.40,-1.5,3.05,1.5,1.30,2.20,1.55,2.15,1.58,2.40,2.40,4.80,9.50,2.15,4.20,2.40,6.70,1.05
2952,"Lille vs Montpellier","2023-04-16 19:00:00","French League",1,pending_or_postpone,-1.00,1.82,1.00,2.00,1.45,4.20,5.20,2.05,17.00,35.00,4.20,7.00,12.00,21.00,17.00,10.00,7.00,6.50,6.50,10.00,10.00,19.00,21.00,19.00,35.00,90.00,50.00,50.00,80.00,150.00,250.00,17.00,8.00,13.00,60.00,200.00,40.00,15.00,35.00,15.00,100.00,50.00,40.00,250.00,150.00,125.00,150.00,300.00,250.00,250.00,250.00,250.00,17.00,5.20,3.60,3.50,4.50,7.50,13.00,25.00,50.00,80.00,1.40,3.00,17.00,1.82,1.82,1.95,2.40,5.20,3.30,6.50,12.00,3.40,7.50,35.00,10.00,7.50,25.00,23.00,2.5,1.55,2.25,1.5,2.25,1.55,-1.5,2.20,1.5,1.55,1.63,2.05,1.95,1.70,3.40,2.50,3.70,5.50,1.80,3.70,3.40,4.40,1.15
2964,"Paris SG vs Lens","2023-04-16 03:00:00","French League",1,pending_or_postpone,-0.75,1.85,0.75,1.97,1.63,3.80,4.10,2.40,15.00,30.00,4.50,6.50,10.00,21.00,15.00,7.50,7.50,8.00,6.50,12.00,11.00,15.00,23.00,21.00,35.00,80.00,40.00,40.00,70.00,200.00,250.00,15.00,7.00,12.00,50.00,200.00,50.00,15.00,25.00,12.00,70.00,35.00,35.00,200.00,100.00,100.00,125.00,250.00,250.00,250.00,250.00,250.00,15.00,5.20,3.60,3.40,4.70,8.00,13.00,25.00,50.00,80.00,1.53,2.60,15.00,1.82,1.82,2.10,2.35,4.40,3.50,7.50,13.00,3.30,7.00,35.00,10.00,6.50,23.00,21.00,3.5,2.35,1.50,1.5,2.30,1.53,-1.5,2.60,1.5,1.40,1.58,2.15,1.95,1.70,3.30,2.50,3.70,5.50,1.95,3.30,3.30,4.00,1.18
2965,"Rennes vs Reims","2023-04-15 23:00:00","French League",1,pending_or_postpone,-0.25,1.91,0.25,1.91,2.10,3.20,3.00,3.40,13.00,35.00,5.20,5.00,7.00,25.00,13.00,5.20,6.50,9.50,7.50,21.00,15.00,25.00,60.00,50.00,60.00,125.00,150.00,125.00,200.00,250.00,250.00,10.00,5.20,12.00,60.00,250.00,125.00,8.50,15.00,10.00,40.00,25.00,35.00,125.00,80.00,90.00,150.00,250.00,200.00,250.00,250.00,300.00,10.00,4.10,3.10,3.60,5.50,11.00,25.00,60.00,100.00,125.00,1.82,2.20,10.00,1.82,1.82,2.80,2.05,3.60,3.90,11.00,17.00,2.85,7.50,40.00,15.00,4.80,15.00,21.00,2.5,1.93,1.75,1.5,2.85,1.35,-1.5,4.00,1.5,1.18,1.70,1.95,2.05,1.63,2.85,2.40,4.20,7.00,2.40,2.95,2.85,4.80,1.12
2945,"Toulouse vs Lyon","2023-04-15 03:00:00","French League",1,pending_or_postpone,0.25,1.82,-0.25,2.00,2.60,3.50,2.20,4.30,13.00,23.00,7.00,6.00,5.80,25.00,13.00,3.40,11.00,15.00,8.50,35.00,17.00,19.00,80.00,40.00,50.00,90.00,200.00,150.00,150.00,200.00,250.00,17.00,6.50,11.00,40.00,150.00,70.00,9.50,11.00,7.50,23.00,13.00,17.00,50.00,35.00,40.00,80.00,125.00,100.00,125.00,200.00,250.00,17.00,5.20,3.70,3.40,4.50,7.50,15.00,35.00,70.00,100.00,2.05,1.82,17.00,1.80,1.85,3.10,2.30,2.75,4.80,13.00,17.00,3.40,6.50,35.00,12.00,4.30,11.00,15.00,2.5,1.55,2.25,1.5,2.30,1.53,1.5,1.20,-1.5,3.75,1.45,2.45,1.95,1.70,3.40,2.50,3.70,5.50,2.60,2.30,3.40,3.75,1.20
